ODS_RE_ST_XDR_S1U_P2P_HDET_H|2019052223|20190523010011|20190523010248|157||2056719|
DW_RE_ST_XDR_S1U_HTTP_PERF_WIDE_CELL_EXT_H|2019052221|20190523001620|20190523010254|2794||6667177|
ODS_RE_ST_XDR_S1U_VOIP_HDET_H|2019052223|20190523010008|20190523010256|168||1932687|
ODS_RE_ST_XDR_SGS_HDET_H|2019052223|20190523010001|20190523010333|212||16245120|
ODS_RE_ST_XDR_S11_HDET_MI|201905222330|20190523003656|20190523010418|1642||13654697|
DW_RE_ST_XDR_S1U_HTTP_PERF_WIDE_URI_H|2019052222|20190523005716|20190523010424|428||1084829824|
ODS_RE_ST_XDR_S6A_HDET_H|2019052223|20190523010101|20190523010504|243||9700075|
ODS_RE_ST_XDR_S1U_HTTP_HDET_MI|201905222345|20190523005057|20190523010556|899||371575501|
DW_RE_ST_XDR_S1U_HTTP_PERF_WIDE_CELL_H|2019052222|20190523004715|20190523010625|1150||54971214|
ODS_RE_ST_XDR_S1U_GNRL_HDET_MI|201905222345|20190523005458|20190523010651|713||467603895|
ODS_RE_ST_XDR_S1U_IM_HDET_H|2019052223|20190523010201|20190523010954|473||461903452|
ODS_RE_ST_XDR_S1U_DNS_HDET_MI|201905222345|20190523005258|20190523010955|1017||356237827|
ODS_RE_ST_XDR_S1U_VIDEO_HDET_H|2019052223|20190523010203|20190523010959|476||21139123|
ODS_RE_ST_XDR_S1U_RTSP_HDET_MI|201905230000|20190523011256|20190523011306|10||318|
ODS_RE_ST_XDR_S1U_FTP_HDET_MI|201905230000|20190523011259|20190523011314|15||20090|
ODS_RE_ST_XDR_S1U_MMS_HDET_MI|201905230000|20190523011301|20190523011315|14||3399|
ODS_RE_ST_XDR_S1U_EMAIL_HDET_MI|201905230000|20190523011300|20190523011315|15||29957|
DW_RE_ST_XDR_S1U_HTTP_PERF_WIDE_TER_H|2019052222|20190523005215|20190523011322|1267||56837996|
ODS_RE_ST_XDR_S1MME_HDET_MI|201905222345|20190523004756|20190523011332|1536||129740733|
ODS_RE_ST_XDR_S6A_HDET_MI|201905230000|20190523011057|20190523011417|200||4404955|
ODS_RE_ST_XDR_S1U_VOIP_HDET_MI|201905230000|20190523011303|20190523011430|87||555994|
ODS_RE_ST_XDR_S1U_P2P_HDET_MI|201905230000|20190523011257|20190523011438|101||509237|
ODS_RE_ST_XDR_SGS_HDET_MI|201905230000|20190523010957|20190523011502|305||6205277|
ODS_RE_ST_XDR_S1U_VIDEO_HDET_MI|201905230000|20190523011056|20190523011510|254||4553066|
